Acetic acid,C2H4O2
Zirconium hydroxide,Zr(OH)4
Zirconium(IV) oxide,ZrO2
Zirconium orthosilicate,ZrSiO4
Zirconium tetrahydroxide,H4O4Zr
Zirconium tungstate,ZrW2O8
Actinium(III) oxide,Ac2O3
Silver tetrafluoroborate,AgBF4
Silver bromide,AgBr
Silver bromate,AgBrO3
Silver chloride,AgCl
Dicopper silver trichloride,AgCl3Cu2
Silver chlorate,AgClO3
Silver perchlorate,AgClO4
Silver cyanide,AgCN
Silver fluoride,AgF
Silver(II) fluoride,AgF2
Silver iodide,AgI
Silver iodate,AgIO3
Silver permanganate,AgMnO4
Silver azide,AgN3
Silver nitrate,AgNO3
Silver oxide,Ag2O
Silver monoxide,AgO
Silver fulminate,AgONC
Silver hexafluorophosphate,AgPF6
Silver thiocyanate,AgSNC
Silver acetylide,Ag2C2
Silver(I) carbonate,Ag2CO3
Silver oxalate,Ag2C2O4
Silver(II) dichloride,Ag2Cl2
Silver chromate,Ag2CrO4
Silver dichromate,Ag2Cr2O7
Silver subfluoride,Ag2F
Silver molybdate,Ag2MoO4
Silver(I) oxide,Ag2O
Silver sulfide,Ag2S
Silver sulfate,Ag2SO4
Silver selenide,Ag2Se
Silver selenite,Ag2SeO3
Silver selenate,Ag2SeO4
Silver(I) telluride,Ag2Te
Silver dibromide,Ag3Br2
Silver tribromide,Ag3Br3
Silver(III) trichloride,Ag3Cl3
Silver(III) triiodide,Ag3I3
Silver phosphate,Ag3PO4
Aluminium boron oxide,AlBO
Aluminium borate,AlBO2
Aluminium monobromide,AlBr
Aluminium tribromide,AlBr3
Aluminium monochloride,AlCl
Aluminium chloride fluoride,AlClF
Aluminium chloride fluoride,AlClF
Aluminium chloride fluoride,AlClF2
Aluminium chloride oxide,AlClO
Dichloroalumane,AlCl2H
Aluminium chloride,AlCl3
Aluminium chloride fluoride,AlCl2F
Aluminium trichloride,AlCl3
Aluminium caesium tetrachloride,AlCl4Cs
Potassium tetrachloroaluminate,AlCl4K
Sodium tetrachloroaluminate,AlCl4Na
Aluminium rubidium tetrachloride,AlCl4Rb
Potassium hexachloroaluminate,AlCl6K3
Sodium hexachloroaluminate,AlCl6Na3
Aluminium monofluoride,AlF
Aluminium monofluoride monoxide,AlFO
Aluminium difluoride,AlF2
Aluminium difluoride oxide,AlF2O
Aluminium trifluoride,AlF3
Potassium tetrafluoroaluminate,AlF4K
Lithium tetrafluoroaluminate,AlF4Li
Potassium hexafluoraluminate,AlF6K3
Lithium hexafluoroaluminate,AlF6Li3
Cryolite,AlF6Na3
Aluminium-gallium-indium phosphide,AlGaInP
Aluminium hydroxide,Al(OH)3
Aluminium monoiodide,AlI
Aluminium triiodide,AlI3
Lithium aluminate,AlLiO2
Aluminium nitride,AlN
Aluminium nitrite,Al(NO2)3
Aluminium nitrate,Al(NO3)3
Sodium aluminate,AlNaO2
Aluminium monoxide,AlO
Aluminium silicon monoxide,AlOSi
Aluminium(IV) oxide,AlO2
Aluminium monophosphide,AlP
Aluminium phosphate,AlPO4
Aluminium monotelluride,AlTe
Monoaluminium ditelluride,AlTe2
Beryllium aluminium oxide,Al2BeO4
Dialuminium hexabromide,Al2Br6
Aluminium carbonate,Al2(CO3)3
Potassium aluminium chloride,Al2Cl9K3
Cobalt blue,Al2CoO4
Aluminium fluoride,Al2F6
Aluminium iodide,Al2I6
Magnesium aluminium oxide,Al2MgO4
Dialuminium monoxide,Al2O
Dialuminium dioxide,Al2O2
Aluminium oxide,Al2O3
Aluminium silicate,Al2O5Si
Aluminium silicate,Al2O5Si
Andalusite,Al2O5Si
Aluminium silicate,Al2O7Si2
Dialuminium monosulfide,Al2S
Aluminium sulfide,Al2S3
Aluminium sulfate,Al2(SO4)3
Dialuminium selenide,Al2Se
Dialuminium telluride,Al2Te
Chiolite,Al3F14Na5
Aluminium carbide,Al4C3
Beryllium aluminium oxide,Al6BeO10
Mullite,Al6O13Si2
Argon chloride fluoride,ArClF
Argon chloride hydride,ArClH
Argon fluoride hydride,ArFH
Arsenic oxybromide,AsBrO
Arsenic tribromide,AsBr3
Arsenic monoxide monochloride,AsClO
Arsenic trichloride,AsCl3
Arsenic oxychloride,AsCl3O
Arsenic tetrachloride fluoride,AsCl4F
Arsenic trifluoride,AsF3
Arsenic pentafluoride,AsF5
Arsine,AsH3
Arsenic triiodide,AsI3
Arsenic monoxide,AsO
Arsenic dioxide,AsO2
Arsenic monophosphide,AsP
Arsenic triphosphide,AsP3
Thallium arsenide,AsTl
Arsenic diiodide,As2I4
Arsenic trioxide,As2O3
Arsenic diphosphide,As2P2
Arsenic pentoxide,As2O5
Arsenic tetrasulfide,As2S4
Arsenic pentasulfide,As2S5
Arsenic hemiselenide,As2Se
Arsenic triselenide,As2Se3
Arsenic pentaselenide,As2Se5
Arsenic tetraoxide,As3O4
Arsenic(III) phosphide,As3P
Tetraarsenic trioxide,As4O3
Tetraarsenic pentaoxide,As4O5
Tetraarsenic trisulfide,As4S3
Tetraarsenic tetrasulfide,As4S4
Gold monoboride monoxide,AuBO
Gold bromide,AuBr
Gold tribromide,AuBr3
Gold cyanide,AuCN
Gold chloride,AuCl
Gold trichloride,AuCl3
Gold trifluoride,AuF3
Gold iodide,AuI
Gold(III) iodide,AuI3
Gold hydroxide,Au(OH)3
Gold telluride,AuTe
Gold trioxide,Au2O3
Gold sulfide,Au2S
Gold trisulfide,Au2S3
Gold triselenate,Au2(SeO4)3
Gold triselenide,Au2Se3
Boron arsenide,BAs
Boron(III) arsenate,BAsO4
Boron tribromide,BBr3
Boron trichloride,BCl3
Boron trifluoride,BF3
Boron iodide,BI3
Boron nitride,BN
Boron nitrite,B(NO2)3
Boron nitrate,B(NO3)3
Boric acid,B(OH)3
Boron(III) phosphide,BP
Boron(III) orthophosphate,BPO4
Boron chloride,B2Cl4
Boron trifluoride,B2F4
Boron hydride,B2H6
Boron(III) oxide,B2O3
Boron sulfide,B2S3
Borazine,B3N3H6
Boron carbide,B4C
Barium aluminate,Ba(AlO2)2
Barium arsenite,Ba(AsO3)2
Barium arsenate,Ba(AsO4)2
Barium hexaboride,BaB6
Barium bromate monohydrate,Ba(BrO3)2Â·H2O
Barium bromate dihydrate,Ba(BrO3)2Â·2H2O
Barium bromide,BaBr2
Barium formate,Ba(CHO2)2
Barium acetate,Ba(C2H3O2)2
Barium cyanide,Ba(CN)2
Barium oxalate,BaC2O4
Barium carbide,BaC2
Barium carbonate,BaCO3
Barium perchlorate,Ba(ClO4)2
Barium chloride,BaCl2
Barium chromate,BaCrO4
Barium fluoride,BaF2
Gillespite,BaFeSi4O10
Barium tetraiodomercurate(II),BaHgI4
Barium iodide,BaI2
Barium potassium chromate,BaK2(CrO4)2
Barium manganate,BaMnO4
Barium permanganate,Ba(MnO4)2
Barium molybdate,BaMoO4
Barium azide,BaN6
Barium nitrite,Ba(NO2)2
Barium nitrate,Ba(NO3)2
Barium niobate,Ba(NbO3)2
Barium metaniobate,BaNb2O6
Barium oxide,BaO
Barium hydroxide,Ba(OH)2
Barium peroxide,BaO2
Barium metaphosphate,Ba(PO3)2
Barium sulfide,BaS
Barium thiocyanate,Ba(SCN)2
Barium thiosulfate,BaS2O3
Barium hexafluorosilicate,BaSiF6
Barium sulfite,BaSO3
Barium sulfate,BaSO4
Barium selenide,BaSe
Barium selenite,BaSeO3
Barium selenate,BaSeO4
Barium metasilicate,BaSiO3
Barium silicide,BaSi2
Barium disilicate,BaSi2O5
Barium stannate,BaSn3
Barium tellurite,BaTeO3
Barium tellurate trihydrate,BaTeO4Â·3H2O
Barium titanate,BaTiO3
Barium uranium oxide,BaU2O7
Barium tungstate,BaWO4
Barium zirconate,BaZrO3
Barium sodium niobate,Ba2Na(NbO3)5
Barium pyrophosphate,Ba2P2O7
Barium pyrovanadate,Ba2V2O7
Barium perxenate,Ba2XeO6
Barium chromate(V),Ba3(CrO4)2
Barium nitride,Ba3N2
Barium orthophosphate,Ba3(PO4)2
Barium orthovandate,Ba3(VO4)2
Beryllium boride,BeB2
Beryllium borohydride,Be(BH4)2
Beryllium bromide,BeBr2
Beryllium formate,Be(CHO2)2
Beryllium carbonate,BeCO3
Beryllium acetate,Be(C2H3O2)2
Beryllium acetylacetonate,Be(C5H7O2)2
Beryllium chloride,BeCl2
Beryllium hypochlorite,Be(ClO)2
Beryllium chlorate,Be(ClO3)2
Beryllium perchlorate,Be(ClO4)2
Beryllium fluoride,BeF2
Beryllium iodide,BeI2
Beryllium nitrite,Be(NO2)2
Beryllium nitrate,Be(NO3)2
Beryllium oxide,BeO
Beryllium hydroxide,Be(OH)2
Beryllium sulfide,BeS
Beryllium sulfite,BeSO3
Beryllium sulfate,BeSO4
Beryllium carbide,Be2C
Beryllium nitride,Be3N2
Bismuth(III) orthoborate,BiBO3
Bismuth(III) bromide,BiBr3
Bismuth(III) acetate,Bi(C2H3O2)3
Bismuth(III) citrate,BiC6H5O7
Bismuth(III) chloride,BiCl3
Bismuth(III) fluoride,BiF3
Bismuth(III) iodide,BiI3
Bismuth(III) nitrate pentahydrate,Bi(NO3)3Â·5H2O
Bismuth(III) oxychloride,BiOCl
Bismuth(III) oxyiodide,BiOI
Bismuth oxycarbonate,(BiO)2CO3
Bismuth(III) orthophosphate,BiPO4
Bismuth(III) metavanadate,Bi(VO3)5
Bismuth(III) selenide,Bi2Se3
Bismuth(III) molybdate,Bi2(MoO4)3
Bismuth(III) oxide,Bi2O3
Bismuth(III) sulfide,Bi2S3
Bismuth(III) selenide,Bi2Se3
Bromine chloride,BrCl
Bromate ion,BrO3-
Bromine,Br2
Dibromine pentoxide,Br2O5
Dichlorodifluoromethane,CCl2F2
Carbon tetrachloride,CCl4
Freon-11,CFCl3
Freon-13,CFCl2CF2Cl
Methyl trichloride,CHCl3
Formate ion,CHO2-
Ketene,CH2CO
Ethenol,CH2CHOH
Chloroacetic acid,CH2ClCOOH
Dichloromethane,CH2Cl2
Formaldehyde,CH2O
Methanediol,CH2(OH)2
Ethylene glycol,CH2OHCH2OH
Propyne,CH3CCH
2-butene,CH3CHCHCH3
Propene,CH3CHCH2
Acetaldehyde,CH3CHO
Bromoethane,CH3CH2Br
Butan-1-ol,CH3CH2CH2CH2OH
1-propanol,CH3CH2CH2OH
Propanamide,CH3CH2CONH2
Propionic acid,CH3CH2COOH
Diethyl ether,CH3CH2OCH2CH3
Ethanol,CH3CH2OH
Stearic acid,CH3(CH2)16COOH
Acetone,CH3COCH3
Acetyl chloride,CH3COCl
Acetamide,CH3CONH2
Acetate ion,CH3COO-
Vinyl acetate,CH3COOCHCH2
Benzyl acetate,CH3COOCH2C6H5
Isoamyl acetate,CH3COO(CH2)2CH(CH3)2
Acetic acid,CH3COOH
Sodium acetate,CH3COONa
Potassium acetate,CH3COOK
Rubidium acetate,CH3COORb
Caesium acetate,CH3COOCs
Acetic anhydride,(CH3CO)2O
Chloromethane,CH3Cl
Iodomethane,CH3I
Dimethyl ether,CH3OCH3
Caesium methoxide,CH3OCs
Methanol,CH3OH
Potassium methoxide,CH3OK
Lithium methoxide,CH3OLi
Sodium methoxide,CH3ONa
Rubidium methoxide,CH3ORb
Dimethyl sulfide,CH3SCH3
Methanethiol,CH3SH
Isopropyl alcohol,(CH3)2CHOH
Acetone,(CH3)2CO
Dimethyl oxalate,(CH3)2C2O4
Dimethyl hydrazine,(CH3)2NNH2
Dimethylsulfoniopropionate,(CH3)2S+CH2CH2COO-
T-butyl chloride,(CH3)3CCl
T-butyl alcohol,(CH)3COH
Di-t-butyl peroxide,(CH3)3COOC(CH3)3
Methane,CH4
Hydroxycarbamide,CH4N2O2
Cyanide ion,CN-
Cyanogen,(CN)2
Guanidine nitrate,C(NH2)3NO3
Cyanate ion,CNO-
Carbon monoxide,CO
Phosgene,COCl2
Carbon dioxide,CO2
Carbon trioxide,CO3
Carbonate ion,CO32-
Carbon disulfide,CS2
Tetrafluoroethylene,C2F4
Acetylene,C2H2
Vinyl chloride,C2H3Cl
Acetate ion,C2H3O2-
Ethylene,C2H4
Ethylene dichloride,C2H4Cl2
Acetic acid,C2H4O2
Bromoethane,C2H5Br
Ethylamine,C2H5NH2
Glycine,C2H5NO2
Ethoxide ion,C2H5O-
Ethanol,C2H5OH
Diethylamine,(C2H5)2NH
Caesium ethoxide,C2H5OCs
Potassium ethoxide,C2H5OK
Sodium ethoxide,C2H5ONa
Rubidium ethoxide,C2H5ORb
Ethane,C2H6
Dimethyl sulfoxide,C2H6OS
Taurine,C2H7NO3S
Oxalate ion,C2O42-
Malonate ion,C3H3O4-
Imidazole,C3H4N2
Aminothiazole,C3H4N2S
Pyruvic acid,C3H4O3
Malonic acid,C3H4O4
3-amino-1H-pyrazole,C3H5N3
Nitroglycerine,C3H5N3O9
Propylene,C3H6
Î±-alanine,C3H7NO2
Cysteine,C3H7NO2S
52-90-4,Cys
Serine,C3H7NO3
Propane,C3H8
Propanol,C3H8O
Glycerol,C3H8O3
Cyanuric acid,C3N3(OH)3
Cyanuric triazide,C3N12
5-bromo-2-chloropyrimidine,C4H2BrClN2
Fluorouracil,C4H3FN2O2
Flucytosine,C4H4FN3O
Uracil,C4H4N2O2
3-aminopyrazole-4-carbonitrile,C4H4N4
Cytosine,C4H5N3O
Methimazole,C4H6N2S
Succinic acid,C4H6O4
2-bromobutyric acid,C4H7BrO2
1-aminocyclopropanecarboxylic acid,C4H7NO2
Aspartic acid,C4H7NO4
Cyclobutane,C4H8
Asparagine,C4H8N2O3
Tetrahydrofuran,C4H8O
Ethyl acetate,C4H8O2
Î³-aminobutyric acid,C4H9NO2
Threonine,C4H9NO3
Butyl alcohol,C4H9OH
Butane,C4H10
Diethyl ether,C4H10O
2-bromo-5-nitropyridine,C5H3BrN2O2
2-chloro-5-nitropyridine,C5H3ClN2O2
6-chloropurine,C5H3ClN4
Niacin,C5H4NCOOH
Pyrazinoic acid,C5H4N2O2
Orotic acid,C5H4N2O4
Allopurinol,C5H4N4O
Xanthine,C5H4N4O2
Mercaptopurine,C5H4N4S
B-thiophenic acid,C5H4O2S
Cyclopentadienyl anion,C5H5-
2-amino-5-bromopyridine,C5H5BrN2
2-amino-4-chloropyridine,C5H5ClN2
2-amino-5-iodopyridine,C5H5IN2
Pyridine,C5H5N
2-pyridone,C5H5NO
Pyrazinamide,C5H5N3O
2-amino-nitropyridine,C5H5N3O2
Adenine,C5H5N5
Guanine,C5H5N5O
3-pyridinylboronic acid,C5H6BNO2
4-aminopyridine,C5H6N2
2-amino-3-hydroxypyridine,C5H6N2O
Methylthiouracil,C5H6N2OS
Thymine,C5H6N2O2
Î±-Ketoglutaric acid,C5H6O5
Proline,C5H9NO2
Glutamic acid,C5H9NO4
Cyclopentane,C5H10
Glutamine,C5H10N2O3
56-85-9,Gln
Deoxyribose,C5H10O4
Valine,C5H11NO2
Methionine,C5H11NO2S
Pentane,C5H12
Pentafluorobenzoic acid,C6F5COOH
5-bromonicotinic acid,C6H4BrNO2
2-chloronicotinic acid,C6H4ClNO2
6-chloro-7-dezapurine,C6H4ClN3
6-chloro-2-pyridinecarboxylic acid,C6H4ClNO2
Orthobenzoquinone,C6H4O2
Benzaldehyde,C6H5CHO
Benzyl alcohol,C6H5CH2OH
Benzoyl chloride,C6H5COCl
Benzoate ion,C6H5COO-
Benzoic acid,C6H5COOH
Fluorobenzene,C6H5F
Picolinic acid,C6H5NO2
4-nitrophenol,C6H5NO3
Phenol,C6H5OH
Citrate ion,C6H5O73-
Tetraphenylgermane,(C6H5)4Ge
Benzene,C6H6
4-chlorophenylboronic acid,C6H6BClO2
4-fluorophenylboronic acid,C6H6BFO2
4-iodoaniline,C6H6IN
Nicotinamide,C6H6N2O
6-aminonicotinic acid,C6H6N2O2
Phenol,C6H6O
Benzenediols,C6H6O2
Hydroxymethylfurfural,C6H6O3
Phenylboronic acid,C6H7BO2
Isoniazid,C6H7N3O
2-amino-3-methylpyridine,C6H8N2
Ethyl 2-aminothiazole-4-carboxylate,C6H8N2O2S
Citric acid,C6H8O7
Histidine,C6H9N3O2
Metronidazole,C6H9N3O3
Ethyl acetoacetate,C6H10O3
Cycloleucine,C6H11NO2
Cyclohexane,C6H12
N-ethylmorpholine,C6H13NO
Aminocaproic acid,C6H13NO2
Hexane,C6H14
Lysine,C6H14N2O2
56-87-1,Lys
Arginine,C6H14N4O2
74-79-3,Arg
4-fluorobenzoic acid,CHH5FO2
Quinolinic acid,C7H5NO4
2-mercaptobenzothiazole,C7H5NS2
7-nitroindazole,C7H5N3O2
7-azaindole,C7H6N2
Benzoic acid,C7H6O2
Salicylic acid,C7H6O3
Protocatechuic acid,C7H6O4
Gallic acid,C7H6O5
4-carboxyphenylboronic acid,C7H7BO4
4-aminobenzoic acid,C7H7NO2
Mesalazine,C7H7NO3
Benomyl metabolite,C7H7N3
Toluene,C7H8
Hydrochlorothiazide,C7H8ClN3O4S2
Theophylline,C7H8N4O2
4-methylphenylboronic acid,C7H9BO2
4-boronoanisole,C7H9BO3
4-dimethylaminopyridine,C7H10N2
Heptane,C7H16
Riluzole,C8H5F3N2OS
Isatin,C8H5NO2
5-bromoindole,C8H6BrN
4-chloroindole,C8H6ClN
4-quinazolinol,C8H6N2O
Indazolium-3-carboxylate,C8H6N2O2
Indole,C8H7N
Oxindole,C8H7NO
Cubane,C8H8
2-amino-6-methoxybenzothiazole,C8H8N2OS
Isovanillin,C8H8O3
Vanillic acid,C8H8O4
Acetaminophen,C8H9NO2
Aminomethylbenzoic acid,C8H9NO2
Hydroxydanaidal,C8H9NO2
Methyl anthranilate,C8H9NO2
Caffeine,C8H10N4O2
Tyramine,C8H11NO
Aciclovir,C8H11N5O3
Octane,C8H18
4-bromoisoquinoline,C9H6BrN
5-cyanoindole,C9H6N2
Umbelliferone,C9H6O3
8-hydroxyquinoline,C9H7NO
Indole-2-carboxylic acid,C9H7NO2
5-aminoisoquinoline,C9H8N2
Cinnamic acid,C9H8O2
Coumaric acids,C9H8O3
Aspirin,C9H8O4
Methylketol,C9H9N
4-methoxyindole,C9H9NO
Hippuric acid,C9H9NO3
Paeonol,C9H10O3
Phenylanine,C9H11NO2
Tyrosine,C9H11NO3
L-DOPA,C9H11NO4
Gabapentin,C9H17NO2
1-boc-piperazine,C9H18N2O2
Nonane,C9H20
Quinaldic acid,C10H7NO2
Naphthalene,C10H8
Hymecromone,C10H8O3
Indole-3-acetic acid,C10H9NO2
Kinetin,C10H9N5O
5-methoxyindole-3-carboxaldehyde,C10H9NO2
Edaravone,C10H10N2O
Ferulic acid,C10H10O4
Sulfamethoxazole,C10H11N3O3S
Tryptamine,C10H12N2
Adenosine,C10H13N5O4
Mentha spicata herb oil,C10H14O
Ephedrine,C10H15ON
Camphor,C10H16O
Boc-4-piperidone,C10H17NO3
1-boc-4-piperidinol,C10H19NO3
Boc-4-aminopiperidine,C10H20N2O2
Decane,C10H22
Menadione,C11H8O2
3-indolepropionic acid,C11H11NO2
Tryptophan,C11H12N2O2
5-methoxytryptamine,C11H14N2O
Boc-isonipecotic acid,C11H19NO4
Undecane,C11H24
Methoxsalen,C12H8O4
Biphenyl,C12H10
Furosemide,C12H10ClN2O5S
6-benzylaminopurine,C12H11N5
1-benzyl-4-piperidone,C12H15NO
Maltose,C12H22O11
Indole-3-butyric acid,C12H13NO2
Propofol,C12H18O
Dodecane,C12H26
Benzophenone,C13H10O
Fluconazole,C13H12F2N6O
Î²-ionone,C13H12O
Monobenzene,C13H12O2
Melatonin,C13H16N2O2
Ibuprofen,C13H18O2
Tridecane,C13H28
Anthracene,C14H10
Benzoyl peroxide,C14H10O14
Resveratrol,C14H12O3
Aspartame,C14H18N2O5
Trimethoprim,C14H18N4O3
Tetradecane,C14H30
Daidzein,C15H10O4
Apigenin,C15H10O5
Luteolin,C15H10O6
Quercetin,C15H10O7
Carbamazepine,C15H12N2O
Phenytoin,C15H12N2O2
Pentadecane,C15H32
Hexadecane,C16H34
Celecoxib,C17H14F3N3O2S
Nifedipine,C17H18N2O6
Omeprazole,C17H19N3O3S
Heptadecane,C17H36
Capsaicin,C18H27NO3
Linoleic acid,C18H32O2
Stearic acid,C18H36O2
Octadecane,C18H38
Indometacin,C19H16ClNO4
Nonadecane,C19H40
Quinine,C20H24O2N2
Tretinoin,C20H28O2
Eicosane,C20H42
Coenzyme A,C21H36N7O16P3S
Tetrahydrocannabinol,C21H30O2
Loratadine,C22H23ClN2O2
Maitotoxin,C164H256Na2O68S2
Calcium boride,CaB6
Calcium bromide,CaBr2
Calcium cyanide,Ca(CN)2
Calcium carbonate,CaCO3
Calcium carbide,CaC2
Calcium formate,Ca(CHO2)2
Calcium acetate,Ca(C2H3O2)2
Calcium oxalate,CaC2O4
Calcium cyanamide,CaCN2
Calcium chloride,CaCl2
Calcium hypochlorite,Ca(ClO)2
Calcium chlorate,Ca(ClO3)2
Calcium perchlorate,Ca(ClO4)2
Calcium fluoride,CaF2
Calcium hydride,CaH2
Calcium hypophosphite,Ca(H2PO2)2
Calcium iodide,CaI2
Calcium iodate,Ca(IO3)2
Calcium molybdate,CaMoO4
Calcium nitrite,Ca(NO2)2
Calcium nitrate,Ca(NO3)2
Calcium nitrate tetrahydrate,Ca(NO3)2 Â· 4H2O
Calcium metaniobate,Ca(NbO3)2
Calcium oxide,CaO
Calcium hydroxide,Ca(OH)2
Calcium peroxide,CaO2
Calcium monophosphide,CaP
Calcium sulfide,CaS
Calcium sulfite,CaSO3
Calcium sulfate,CaSO4
Calcium sulfate hemihydrate,CaSO4 Â· 0.5H2O
Calcium selenide,CaSe
Calcium selenite,CaSeO3
Calcium selenate,CaSeO4
Calcium metasilicate,CaSiO3
Calcium telluride,CaTe
Calcium tellurite,CaTeO3
Calcium tellurate,CaTeO4
Calcium titanate,CaTiO3
Calcium metavanadate,Ca(VO3)2
Calcium orthovanadate,Ca(VO4)2
Calcium tungstate,CaWO4
Calcium nitride,Ca3N2
Calcium phosphide,Ca3P2
Cadmium bromide,CdBr2
Cadmium cyanide,Cd(CN)2
Cadmium carbonate,CdCO3
Cadmium acetate,Cd(C2H3O2)2
Cadmium oxalate,CdC2O4
Cadmium chloride,CdCl2
Cadmium chromate,CdCrO4
Cadmium fluoride,CdF2
Cadmium iodide,CdI2
Cadmium iodate,Cd(IO3)2
Cadmium molybdate,CdMoO4
Cadmium nitrate,Cd(NO3)2
Cadmium azide,Cd(N3)2
Cadmium oxide,CdO
Cadmium hydroxide,Cd(OH)2
Cadmium sulfide,CdS
Cadmium sulfite,CdSO3
Cadmium sulfate,CdSO4
Cadmium antimonide,CdSb
Cadmium selenide,CdSe
Cadmium selenite,CdSeO3
Cadmium metasilicate,CdSiO3
